Date Time,Open,High,Low,Close,Volume
2012-05-30 09:15:00,9599.9004,9599.9004,9531.0,9539.0498,172750.0
2012-05-30 09:30:00,9540.0,9542.0,9503.0996,9524.0,137875.0
2012-05-30 09:45:00,9525.0,9537.6504,9521.3496,9536.4502,50675.0
2012-05-30 10:00:00,9536.4502,9555.0,9533.5498,9541.5,65925.0
2012-05-30 10:15:00,9541.5,9547.0,9525.25,9527.0,49175.0
2012-05-30 10:30:00,9527.5,9539.0,9511.5996,9512.0996,65600.0
2012-05-30 10:45:00,9512.2002,9522.0,9490.0498,9521.0,79625.0
2012-05-30 11:00:00,9521.0,9534.7998,9520.7002,9521.4004,64125.0
2012-05-30 11:15:00,9520.7002,9545.4004,9520.7002,9542.4004,59675.0
2012-05-30 11:30:00,9542.4004,9547.5,9517.3496,9540.0,84925.0
2012-05-30 11:45:00,9540.0,9541.2998,9524.0,9530.9502,33225.0
2012-05-30 12:00:00,9530.9502,9536.75,9522.5498,9535.9502,29450.0
2012-05-30 12:15:00,9536.0,9537.7998,9507.0,9510.5498,82250.0
2012-05-30 12:30:00,9510.5498,9515.0,9493.2998,9500.0,73275.0
2012-05-30 12:45:00,9499.0,9518.5,9480.0,9506.2002,97025.0
2012-05-30 13:00:00,9506.0498,9513.5,9471.2998,9476.5,75625.0
2012-05-30 13:15:00,9476.5,9502.0,9468.0996,9500.0,54100.0
2012-05-30 13:30:00,9500.2998,9518.0,9495.1504,9518.0,78850.0
2012-05-30 13:45:00,9518.0,9535.3496,9509.25,9516.0,84950.0
2012-05-30 14:00:00,9516.0,9526.3496,9507.0,9509.1504,38500.0
2012-05-30 14:15:00,9509.0996,9558.6504,9493.2998,9524.0,122400.0
2012-05-30 14:30:00,9524.0498,9534.6504,9510.0,9510.0,51275.0
2012-05-30 14:45:00,9506.0,9508.0498,9438.0,9486.0,165550.0
2012-05-30 15:00:00,9486.0,9493.4004,9450.2002,9484.1504,87675.0
2012-05-30 15:15:00,9485.0,9486.5498,9460.0,9473.9004,148600.0
2012-05-31 09:15:00,9170.0,9416.3496,9170.0,9404.0,172175.0
2012-05-31 09:30:00,9404.0,9405.0,9387.0996,9400.0,54275.0
2012-05-31 09:45:00,9398.4502,9411.0,9397.5,9410.0,31075.0
2012-05-31 10:00:00,9410.0,9425.3496,9405.2998,9408.2002,46775.0
2012-05-31 10:15:00,9409.9502,9421.5,9400.0,9404.7998,48700.0
2012-05-31 10:30:00,9402.8496,9418.0,9384.4502,9387.0,38550.0
2012-05-31 10:45:00,9385.0,9405.0498,9385.0,9395.0498,67425.0
2012-05-31 11:00:00,9395.0498,9418.2002,9360.4502,9400.0,178375.0
