Date Time,Open,High,Low,Close,Volume,Adj Close
2016-01-04 00:00:00,7924.549805,7937.549805,7781.100098,7791.299805,134700,7791.299805
2016-01-05 00:00:00,7828.399902,7831.200195,7763.25,7784.649902,145200,7784.649902
2016-01-06 00:00:00,7788.049805,7800.950195,7721.200195,7741,147100,7741
2016-01-07 00:00:00,7673.350098,7674.950195,7556.600098,7568.299805,188900,7568.299805
2016-01-08 00:00:00,7611.649902,7634.100098,7581.049805,7601.350098,157400,7601.350098
2016-01-11 00:00:00,7527.450195,7605.100098,7494.350098,7563.850098,189000,7563.850098
2016-01-12 00:00:00,7587.200195,7588.299805,7487.799805,7510.299805,163900,7510.299805
2016-01-13 00:00:00,7557.899902,7590.950195,7425.799805,7562.399902,215200,7562.399902
2016-01-14 00:00:00,7467.399902,7604.799805,7443.799805,7536.799805,200800,7536.799805
2016-01-15 00:00:00,7561.649902,7566.5,7427.299805,7437.799805,197500,7437.799805
2016-01-18 00:00:00,7420.350098,7463.649902,7336.399902,7351,233600,7351
2016-01-19 00:00:00,7381.799805,7462.75,7364.149902,7435.100098,188300,7435.100098
2016-01-20 00:00:00,7357,7470.899902,7241.5,7309.299805,225600,7309.299805
2016-01-21 00:00:00,7376.649902,7398.700195,7250,7276.799805,240700,7276.799805
2016-01-22 00:00:00,7355.700195,7433.399902,7327.600098,7422.450195,229200,7422.450195
2016-01-25 00:00:00,7468.75,7487.149902,7421.200195,7436.149902,163200,7436.149902
2016-01-27 00:00:00,7469.600098,7477.899902,7419.700195,7437.75,187600,7437.75
2016-01-28 00:00:00,7426.5,7468.850098,7409.600098,7424.649902,274500,7424.649902
2016-01-29 00:00:00,7413.350098,7575.649902,7402.799805,7563.549805,298700,7563.549805
2016-02-01 00:00:00,7589.5,7600.450195,7541.25,7555.950195,200400,7555.950195
2016-02-02 00:00:00,7566.649902,7576.299805,7428.049805,7455.549805,230200,7455.549805
2016-02-03 00:00:00,7392.450195,7419.399902,7350.299805,7361.799805,192000,7361.799805
2016-02-04 00:00:00,7411.450195,7457.049805,7365.950195,7404,222700,7404
2016-02-05 00:00:00,7418.25,7503.149902,7406.649902,7489.100098,249800,7489.100098
2016-02-08 00:00:00,7489.700195,7512.549805,7363.200195,7387.25,171500,7387.25
2016-02-09 00:00:00,7303.950195,7323.450195,7275.149902,7298.200195,212100,7298.200195
2016-02-10 00:00:00,7264.299805,7271.850098,7177.75,7215.700195,246900,7215.700195
2016-02-11 00:00:00,7203.600098,7208.649902,6959.950195,6976.350098,292300,6976.350098
2016-02-12 00:00:00,7023.649902,7034.799805,6869,6980.950195,333900,6980.950195
2016-02-15 00:00:00,7057.350098,7182.799805,7056.799805,7162.950195,354200,7162.950195
2016-02-16 00:00:00,7201.25,7204.649902,7037.700195,7048.25,253800,7048.25
2016-02-17 00:00:00,7058.850098,7123.700195,6960.649902,7108.450195,260000,7108.450195
