Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-11-15,143.89,144.75,143.27,143.64,3827700.0,0.0,1.0,119.67463880074,120.38990872477,119.15897908807,119.46671149724,3827700.0
2010-11-12,144.59,145.77,143.55,143.74,4731500.0,0.0,1.0,120.25683525053,121.23825212304,119.39185766799,119.54988241864,4731500.0
2010-11-11,144.7,145.5,143.35,145.43,4752200.0,0.0,1.0,120.34832326407,121.01369063526,119.22551582519,120.95547099028,4752200.0
2010-11-10,146.09,146.79,145.63,146.55,5172000.0,0.0,1.0,121.50439907152,122.08659552131,121.12181283308,121.88698530995,5172000.0
2010-11-09,146.7,147.53,145.63,146.14,5700600.0,0.0,1.0,122.01174169205,122.70206033966,121.12181283308,121.54598453221,5700600.0
2010-11-08,145.35,146.58,145.25,146.46,4459700.0,0.65,1.0,120.88893425316,121.91193658637,120.80576333177,121.81213148069,4459700.0
2010-11-05,145.94,146.93,145.67,146.92,4995800.0,0.0,1.0,120.84333130509,121.66308529983,120.6197620338,121.65480495645,4995800.0
2010-11-04,144.82,146.84,144.71,146.79,6622500.0,0.0,1.0,119.9159328464,121.5885622094,119.82484906921,121.54716049249,6622500.0
2010-11-03,144.24,144.46,142.63,144.17,5182100.0,0.0,1.0,119.43567293029,119.61784048468,118.10253764592,119.37771052662,5182100.0
2010-11-02,143.85,144.71,143.71,143.84,4626400.0,0.0,1.0,119.11273953842,119.82484906921,118.99681473109,119.10445919504,4626400.0
2010-11-01,143.64,144.26,142.32,143.32,5674600.0,0.0,1.0,118.93885232742,119.45223361705,117.8458470011,118.67388133922,5674600.0
2010-10-29,140.9,144.0,140.75,143.6,8439300.0,0.0,1.0,116.67003824097,119.23694468914,116.54583309025,118.90573095389,8439300.0
2010-10-28,141.84,141.95,140.42,140.9,5481600.0,0.0,1.0,117.4483905188,117.539474296,116.27258175867,116.67003824097,5481600.0
2010-10-27,139.52,141.57,139.0,141.43,6465300.0,0.0,1.0,115.52735085437,117.22482124751,115.09677299855,117.10889644017,6465300.0
2010-10-26,139.29,142.0,138.53,140.67,7327100.0,0.0,1.0,115.3369029566,117.5808760129,114.70759685963,116.4795903432,7327100.0
2010-10-25,140.42,141.4,139.81,139.84,4870000.0,0.0,1.0,116.27258175867,117.08405541003,115.76748081242,115.79232184257,4870000.0
2010-10-22,140.15,140.75,139.46,139.67,4105300.0,0.0,1.0,116.04901248738,116.54583309025,115.47766879408,115.65155600509,4105300.0
2010-10-21,139.81,140.49,138.4,139.83,6221200.0,0.0,1.0,115.76748081242,116.33054416234,114.59995239567,115.78404149918,6221200.0
2010-10-20,138.28,139.87,138.13,139.07,6945500.0,0.0,1.0,114.5005882751,115.81716287271,114.37638312438,115.15473540221,6945500.0
2010-10-19,137.3,139.34,136.7,138.03,14159100.0,0.0,1.0,113.68911462374,115.37830467351,113.19229402087,114.29357969057,14159100.0
2010-10-18,140.9,143.03,140.84,142.83,10322700.0,0.0,1.0,116.67003824097,118.43375138117,116.62035618068,118.26814451354,10322700.0
2010-10-15,142.1,142.1,140.54,141.06,7220400.0,0.0,1.0,117.66367944671,117.66367944671,116.37194587925,116.80252373507,7220400.0
