Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-12-31,132.41,132.85,130.75,130.9,4223400.0,0.0,1.0,108.03834720989,108.39735991869,106.68389017214,106.80628086833,4223400.0
2009-12-30,131.23,132.68,130.68,132.57,3867000.0,0.0,1.0,107.07554039993,108.25865046302,106.62677451393,108.16889728582,3867000.0
2009-12-29,132.28,132.37,131.8,131.85,4184200.0,0.0,1.0,107.9322752732,108.00570969091,107.54062504542,107.58142194415,4184200.0
2009-12-28,130.99,132.31,130.72,132.31,5800400.0,0.0,1.0,106.87971528604,107.95675341244,106.65941203291,107.95675341244,5800400.0
2009-12-24,129.89,130.57,129.48,130.57,4265100.0,0.0,1.0,105.98218351403,106.53702133673,105.64764894447,106.53702133673,4265100.0
2009-12-23,129.7,130.0,129.3,130.0,4127600.0,0.0,1.0,105.82715529887,106.07193669123,105.50078010905,106.07193669123,4127600.0
2009-12-22,129.3,129.98,129.19,129.93,5535500.0,0.0,1.0,105.50078010905,106.05561793174,105.41102693185,106.01482103301,5535500.0
2009-12-21,127.8,128.94,127.68,128.65,4772500.0,0.0,1.0,104.27687314723,105.20704243821,104.17896059028,104.97042042559,4772500.0
2009-12-18,127.97,128.39,127.0,127.91,9106600.0,0.0,1.0,104.4155826029,104.75827655221,103.62412276759,104.36662632443,9106600.0
2009-12-17,128.0,128.56,127.12,127.4,5909500.0,0.0,1.0,104.44006074214,104.89698600788,103.72203532453,103.95049795741,5909500.0
2009-12-16,128.74,129.6,128.35,128.71,6372500.0,0.0,1.0,105.0438548433,105.74556150141,104.72563903323,105.01937670407,6372500.0
2009-12-15,129.46,129.86,127.94,128.49,7862600.0,0.0,1.0,105.63133018498,105.9577053748,104.39110446366,104.83987034967,7862600.0
2009-12-14,129.65,129.98,129.6,129.93,5201300.0,0.0,1.0,105.78635840014,106.05561793174,105.74556150141,106.01482103301,5201300.0
2009-12-11,129.01,129.77,128.71,129.68,6597200.0,0.0,1.0,105.26415809643,105.88427095709,105.01937670407,105.81083653938,6597200.0
2009-12-10,128.13,129.47,128.09,129.34,7077800.0,0.0,1.0,104.54613267883,105.63948956472,104.51349515985,105.53341762803,7077800.0
2009-12-09,126.7,128.39,126.11,128.39,6071900.0,0.0,1.0,103.37934137522,104.75827655221,102.89793797024,104.75827655221,6071900.0
2009-12-08,126.97,127.35,126.16,126.8,5351400.0,0.0,1.0,103.59964462835,103.90970105868,102.93873486897,103.46093517268,5351400.0
2009-12-07,126.88,127.53,126.59,127.04,4144400.0,0.0,1.0,103.52621021064,104.0565698941,103.28958819802,103.65676028657,4144400.0
2009-12-04,128.4,128.9,126.0,127.25,7068500.0,0.0,1.0,104.76643593196,105.17440491923,102.80818479304,103.82810726123,7068500.0
2009-12-03,127.6,128.47,127.25,127.55,5760000.0,0.0,1.0,104.11368555232,104.82355159017,103.82810726123,104.07288865359,5760000.0
2009-12-02,127.32,128.39,127.16,127.21,4597900.0,0.0,1.0,103.88522291944,104.75827655221,103.75467284352,103.79546974224,4597900.0
2009-12-01,127.29,128.39,126.85,127.94,6578600.0,0.0,1.0,103.86074478021,104.75827655221,103.50173207141,104.39110446366,6578600.0
2009-11-30,125.12,126.6,124.92,126.35,6302700.0,0.0,1.0,102.09015937544,103.29774757777,101.92697178053,103.09376308413,6302700.0
2009-11-27,124.59,126.62,124.26,125.7,3319200.0,0.0,1.0,101.65771224893,103.31406633726,101.38845271733,102.56340340068,3319200.0
2009-11-25,127.88,128.22,127.08,127.28,3967700.0,0.0,1.0,104.34214818519,104.61956709654,103.68939780555,103.85258540046,3967700.0
2009-11-24,127.9,128.32,127.14,127.93,4816500.0,0.0,1.0,104.35846694468,104.70116089399,103.73835408403,104.38294508392,4816500.0
2009-11-23,127.7,128.94,127.65,128.2,7003500.0,0.0,1.0,104.19527934977,105.20704243821,104.15448245105,104.60324833705,7003500.0
2009-11-20,127.17,127.69,126.46,126.96,5354200.0,0.0,1.0,103.76283222326,104.18711997003,103.18351626133,103.59148524861,5354200.0
2009-11-19,127.28,127.84,126.51,127.54,5308400.0,0.0,1.0,103.85258540046,104.30951066621,103.22431316006,104.06472927384,5308400.0
2009-11-18,128.05,128.35,127.55,128.15,3970100.0,0.0,1.0,104.48085764086,104.72563903323,104.07288865359,104.56245143832,3970100.0
2009-11-17,127.43,128.655,127.4,128.63,1027500.0,0.0,1.0,103.97497609664,104.97450011547,103.95049795741,104.9541016661,1027500.0
2009-11-16,127.17,128.24,127.03,128.21,7822500.0,0.0,1.0,103.76283222326,104.63588585603,103.64860090683,104.61140771679,7822500.0
2009-11-13,126.41,127.8,126.27,127.03,4979700.0,0.0,1.0,103.14271936261,104.27687314723,103.02848804617,103.64860090683,4979700.0
2009-11-12,126.61,127.65,126.11,126.26,5345400.0,0.0,1.0,103.30590695752,104.15448245105,102.89793797024,103.02032866642,5345400.0
2009-11-11,126.55,127.3,125.94,127.19,6530800.0,0.0,1.0,103.25695067904,103.86890415995,102.75922851457,103.77915098275,6530800.0
2009-11-10,125.3,127.05,125.17,126.91,6444500.0,0.0,1.0,102.23702821086,103.66491966632,102.13095627417,103.55068834988,6444500.0
2009-11-09,123.92,126.0,123.49,126.0,7764600.0,0.0,1.0,101.11103380598,102.80818479304,100.76018047693,102.80818479304,7764600.0
2009-11-06,122.51,123.49,122.23,123.49,4979600.0,0.55,1.0,99.960561261869,100.76018047693,99.732098628995,100.76018047693,4979600.0
2009-11-05,122.12,123.5,122.0,122.55,6701800.0,0.0,1.0,99.200525958095,100.3215276435,99.103047550669,99.549823584708,6701800.0
2009-11-04,121.46,122.5,121.16,121.29,6353300.0,0.0,1.0,98.664394717248,99.509207581614,98.42069869868,98.526300306726,6353300.0
2009-11-03,119.53,121.19,119.53,121.16,5706800.0,0.0,1.0,97.096616997798,98.445068300537,97.096616997798,98.42069869868,5706800.0
2009-11-02,120.61,121.93,119.5,120.56,7049400.0,0.0,1.0,97.97392266464,99.046185146336,97.072247395942,97.933306661546,7049400.0
2009-10-30,122.63,124.3,120.48,120.61,7711700.0,0.0,1.0,99.61480918966,100.97138369302,97.868321056595,97.97392266464,7711700.0
2009-10-29,122.15,123.03,121.6,122.87,6309400.0,0.0,1.0,99.224895559952,99.939737214416,98.778119525912,99.809766004514,6309400.0
2009-10-28,120.47,121.68,119.87,121.5,8780400.0,0.0,1.0,97.860197855976,98.843105130864,97.372805818841,98.696887519723,8780400.0
2009-10-27,120.18,122.14,119.15,120.65,9445400.0,0.0,1.0,97.624625038027,99.216772359333,96.78793537428,98.006415467116,9445400.0
2009-10-26,120.61,122.44,119.55,120.11,6538500.0,0.0,1.0,97.97392266464,99.4604683779,97.112863399036,97.567762633695,6538500.0
2009-10-23,122.95,123.06,120.0,120.36,6799200.0,0.0,1.0,99.874751609465,99.964106816273,97.478407426887,97.770842649168,6799200.0
2009-10-22,120.75,123.0,120.34,122.69,6027000.0,0.0,1.0,98.087647473305,99.915367612559,97.75459624793,99.663548393373,6027000.0
